3	62	31
18	1	7
16	69	79
2	81	36
3	1	59
24	72	18
12	67	7
1	87	15
2	20	83
4	81	30
22	56	38
12	10	65
14	24	82
2	71	77
22	10	37
7	41	19
7	20	65
15	81	0
12	28	28
9	75	64
16	23	59
23	77	32
15	17	99
7	67	12
5	3	74
11	56	15
1	50	43
22	33	84
15	19	36
5	69	7
13	13	56
2	43	27
21	2	13
11	17	70
14	43	49
14	73	18
17	13	10
9	64	20
2	61	13
11	4	32
18	85	96
1	10	53
23	65	25
18	56	44
23	52	67
13	44	55
6	50	61
7	38	87
19	7	38
24	26	75
9	49	15
19	56	5
3	81	34
15	86	82
11	9	38
18	58	98
7	53	61
3	42	34
11	31	93
16	42	90
4	59	85
11	84	25
16	8	28
20	70	78
8	52	70
10	80	49
22	9	97
17	26	48
6	5	100
19	44	49
7	25	50
1	20	77
9	29	39
11	40	45
8	65	13
7	45	76
6	34	57
23	79	65
21	84	80
10	55	22
12	12	86
14	54	91
12	34	29
7	87	73
24	25	34
5	62	27
21	47	17
1	17	67
8	60	54
18	5	83
16	17	27
5	4	17
14	74	43
7	11	48
14	36	79
22	11	13
22	50	5
12	83	63
11	23	2
8	87	13
2	31	70
19	19	52
4	58	54
9	85	81
22	6	80
1	33	50
21	15	27
7	21	12
7	5	89
12	79	97
18	70	95
5	33	64
6	73	9
24	66	7
15	55	18
8	35	3
24	32	73
22	8	14
5	30	64
1	48	79
18	41	57
21	57	38
3	45	82
1	71	30
15	9	32
15	41	79
13	52	50
17	54	26
23	5	73
21	51	16
3	74	93
9	44	22
6	39	8
14	13	7
15	3	77
8	66	82
20	26	74
19	11	76
9	33	97
2	73	47
18	74	79
24	58	42
4	84	95
3	83	0
12	57	99
21	42	57
20	6	34
5	79	56
6	44	30
2	68	16
15	6	67
19	23	69
13	57	80
1	12	35
24	56	25
13	34	34
8	67	33
5	57	93
16	34	76
14	27	29
19	30	61
4	80	77
9	40	85
4	39	91
21	40	60
9	83	6
1	77	22
20	2	87
12	30	41
13	67	66
21	30	79
18	54	25
17	40	55
5	1	23
14	53	0
24	53	77
15	57	2
20	30	39
24	43	25
22	62	20
6	78	66
1	5	92
1	57	0
23	86	75
6	11	80
10	32	91
11	59	98
20	33	12
20	76	52
11	26	83
10	12	64
23	59	96
18	18	95
18	76	97
23	66	6
13	37	44
20	1	32
11	14	13
21	24	13
10	76	81
18	53	53
24	28	95
13	25	99
11	38	41
8	81	37
3	44	22
8	63	45
9	3	26
20	51	46
13	5	43
19	41	26
3	2	13
16	6	42
9	81	51
9	47	32
14	32	69
21	32	44
5	14	44
17	14	80
22	31	82
8	69	75
12	43	79
22	41	50
13	12	56
7	78	63
13	59	9
10	58	24
1	86	62
