57	3	3
80	5	1
38	1	0
26	9	3
55	7	5
26	6	3
55	10	4
5	4	1
87	19	1
18	19	0
53	12	3
31	1	3
63	19	2
3	14	5
6	2	5
81	20	4
8	7	1
29	17	4
46	10	4
22	12	3
48	10	4
68	12	5
46	4	3
82	12	0
13	4	1
37	9	0
25	11	5
53	10	2
4	17	4
6	20	2
29	20	2
9	15	2
15	4	5
33	1	5
4	4	3
62	12	1
56	13	1
16	8	1
6	13	4
36	18	4
41	6	4
18	6	4
76	3	1
53	11	4
3	17	3
79	6	1
40	16	2
6	9	2
10	12	3
87	20	3
76	14	2
54	20	1
3	2	4
29	18	5
41	2	3
9	3	3
50	13	4
29	8	2
40	7	2
51	16	3
7	7	5
5	13	2
27	10	3
46	6	2
49	17	3
80	2	0
72	6	4
39	4	4
86	12	1
51	5	0
21	10	4
71	15	3
40	20	3
22	16	3
84	2	4
13	19	5
45	20	3
85	13	0
57	20	4
54	7	2
41	19	3
51	1	3
80	10	4
33	3	0
20	7	1
37	4	1
24	12	5
39	14	3
47	2	4
34	1	4
76	2	0
27	2	1
35	1	1
46	20	5
6	15	1
21	16	1
11	1	4
78	6	3
3	18	4
73	20	5
10	7	4
43	6	0
53	4	3
8	15	5
86	15	0
57	4	3
41	9	5
76	1	1
23	14	3
72	16	0
82	16	4
22	9	1
84	7	1
45	2	5
50	17	4
87	3	4
68	1	4
28	6	4
6	19	3
4	14	1
71	8	2
34	14	3
46	13	4
78	9	1
36	20	3
53	17	4
9	1	2
30	3	3
13	10	4
33	6	1
24	9	3
19	8	0
56	3	3
70	20	3
78	17	0
65	1	5
47	9	4
85	2	4
50	7	4
19	19	2
75	18	0
75	4	2
28	11	3
29	6	5
74	19	0
43	2	4
5	16	0
68	4	4
38	15	2
25	5	0
30	5	5
32	5	0
4	8	0
64	13	1
58	18	1
55	1	3
7	10	4
85	17	5
54	18	5
34	7	4
3	5	1
75	17	5
53	9	2
74	11	1
44	4	3
1	4	0
80	19	0
64	8	1
14	17	1
71	20	4
80	18	2
68	17	5
66	14	2
36	4	5
62	5	4
50	9	3
31	6	0
62	20	3
14	7	2
1	12	2
49	13	0
48	19	1
48	8	2
61	14	2
81	5	0
83	2	1
79	13	1
53	14	4
81	6	2
11	12	5
30	7	1
47	8	4
65	14	3
